Title,Location,Company,Salary,Sponsored,Description
Admission Counselor,"Hyderabad, Telangana",Avrexsee Future Academy (Avrexsee Enterprises Private Limited),"₹3,00,000 - ₹5,00,000 a year",Organic,"Designation : Admissions Counselor - Future Technologies
Admissions / Education Counselor Job Description for EDUTECH PROGRAMS (AI / ML / Data Science/ AR / VR / MR )
Future Technologies:
1. Artificial Intelligence / Machine Learning
2. Data Science
3. Augmented Reality / Virtual Reality / Mixed Reality
JOB SUMMARY
Reporting to the Director of Admissions, the Admissions Counselor represents Avrexsee Future Academy to prospective engineering students and young working professionals in corporate organisations and works to increase inquiries and convert inquiries, leads, applications into enrolled students.
The successful admissions counselor exhibits superior customer service skills and professionalism throughout daily interactions and communications with such prospective students and young working professionals including interviews, phone calls, emails and information sessions.
The counselor creates and implements recruitment strategies to reach prospective students through events, referrals, online and print communications, and outreaches to businesses and organizations.
The admission counselor must demonstrate an ability to work independently as well as collaboratively with team members, faculty, partners, students, engineering colleges and also related alumni, administrators and staff.
A flexible work schedule that will include days, evenings, and some weekends is required. Depending on the calls and engagement requirements.
Travel, valid driver’s license and access to a vehicle required.
ESSENTIAL DUTIES RESPONSIBILITIES
Create an individual lead to enrollment plan (using suggested enrollment template or CRM) for each program as well as participate in the creation of a team plan. The plan includes distribution of lead assigned activities, participation in events/conferences/fairs, communications with prospective students and networking opportunities.
Complete weekly activity report to include documentation of outreach activities and student enrollment.
Ability to work on a registration deadline, strive and run college-wide enrollment goals and use outstanding customer service to recruit students from the engineering College’s on to Avrexsee Future Academy programs.
Develop and update a database of teachers, Industry consultants, administrators, and contact people with whom workshops and information sessions can be booked. Network with new contacts to help increase inquiry production and lead generation.
Utilize phone, email, and mail to communicate with prospective students in a timely manner, providing superior student service.
Work with prospective students to garner completed application files prior to enrollment and efforts to increase retention.
Become familiar with working territory and demographics of cities/towns in that area to best reach the student population for Avrexsee Future Academy.
Collaborate with our growing alumni network to develop new student/professional networks, garner student referrals. Alumni are to be utilized at information sessions, outreaches, phoning etc.
Attend training sessions to receive updated information about new programs, services, educator license requirements, etc.
Under the direction of the Director, participate in the events prior, during, and after each term such as information sessions, orientations, registration events and graduation events.
Ability to work independently, and to arrange information sessions, set appointments and promote Avrexsee Future Academy in a positive manner.
Ability to follow the expectation of treating fellow employees, students and the institution’s guests with civility, and to refrain from activities that disrupt the efficient functioning of the programs.
Ability to follow directions and complete tasks accurately as well as accept supervisory input and constructive criticism.
EDUCATION & EXPERIENCE REQUIRED
Qualifications: Bachelor’s degree required; Master’s Degree preferred.
SKILLS & KNOWLEDGE REQUIRED
Lead management , customer service management, sales, and/or knowledge of higher education on emerging technologies required.
Must be able to demonstrate excellent written and oral communication skills
Well-developed presentation skills are required.
Goal oriented and intrinsically motivated with superior customer service and networking skills.
Facility with MS Office Suite , social media and marketing via the Internet as a tool.
Ability to manage student files and rosters via the CRM system (Use of Salesforce, Leadsquared or Hubspot is preferred)
Ability to build relationships with students and determine the correct program fit for students’ career and personal goals and follow them through the enrollment process.
Experience working with adult population preferred
Professional attire and personal presentation required daily.
Job Types: Full-time, Fresher
Salary: ₹300,000.00 to ₹500,000.00 /year
Experience:
Edutech Program Sale: 1 year (Preferred)
Admissions Counselor: 1 year (Required)
Data Science Program: 1 year (Required)
Artificial Intelligence Program: 1 year (Required)
Education:
Bachelor's (Preferred)
Location:
Hyderabad, Telangana (Preferred)
Language:
English (Required)
Selection rounds:
HR Interview
Technical Interview
Industry:
Education & Instruction
Work Remotely:
Temporarily due to COVID-19"
Artificial Intelligence Online Trainer,"Hyderabad, Telangana",Zion Technologies Solutions,"₹50,000 - ₹60,000 a month",Organic,"The AI Online Trainer is responsible for the following:
1. Take online sessions with students.
2. Provide hands-on assignments
3. Provide academic projects
4. Content creation
5. Assessments and final certification.
Job Types: Full-time, Part-time
Salary: ₹50,000.00 to ₹60,000.00 /month
Experience:
work: 3 years (Preferred)
Teaching: 3 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Language:
English (Preferred)"
Chatbot Developer,"Hyderabad, Telangana",NeuralByte Digital Solutions Private Limited,None,Organic,"Gender: Male / Female
Job DescriptionRole description:
Building chatbots for companies
Using Artificial Intelligence (AI), Natural-Language Processing (NLP), and Machine Learning (ML) to build these chatbots.
The following skills are expected from you:
Python (MUST REQUIRED)
NodeJS (MUST REQUIRED)
MySQL or PostgreSQL or MS SQL
DialogFLOW
JOB DESCRIPTION:
Candidate will be working on building Chatbot POC and demos for customers . He will gradually will work on Production based on the knowledge
This is a 2 month contract job for fresher .
production
*
Job Types: Internship, Fresher
Experience:
NodeJS: 1 year (Preferred)
DialogFlow: 1 year (Preferred)
Python: 1 year (Preferred)
Work Remotely:
Yes"
Computer Teacher,"Dibrugarh, Assam","Shiksha Valley School, Dibrugarh","₹4,00,000 - ₹6,00,000 a year",Organic,"Job Summary
We are searching for an enthusiastic Computer Teacher having knowledge computers, robotics, and Artificial Intelligence to promote computer literacy among our students. In this position, you will be required to craft and present lessons, develop teaching material and attend parent-teacher meetings. Computer Teachers should also ensure that equipment remains in excellent working condition. As a Computer Teacher, the candidate should demonstrate flexibility and support and help students to develop confidence in their computer skills. The Computer Teacher will be cognizant of the socio-economic factors that limit access to technology, and will make a concerted effort to acclimatize students with no prior exposure to computers.
Responsibilities and Duties
Responsibilities:
Planning lessons and activities that facilitate students' acquisition of basic and advanced computer skills.
Instructing in a manner that develops students' confidence in their abilities.
Observing and managing classroom dynamics.
Invigilating and grading projects, quizzes, and examinations.
Tracking and communicating students' advancement throughout the course.
Ensuring that the computer laboratory remains free from food and drink at all times.
Downloading important software updates and maintaining hardware and Information systems.
Attending parent-teacher and faculty meetings/conferences.
Guidance/Maintenance and updating of School Website and ERP
In-depth knowledge of Robotics and Artificial Intelligence
Required Experience and Qualifications
Requirements:
Bachelor's degree in Computer Science, Computer Engineering, or related discipline.
A minimum of 5 years' experience working in a school as a Computer Teacher.
Excellent IT skills and knowledge of Computer Hardware, Softwares, ERP and Information System.
Outstanding organizational and interpersonal communication skills.
Higher Qualification & Experience will get preference
Shortlisted candidates will be called for group discussion and personal Interview. (Personal interview may also be taken through VC)
Selected aspirants will receive an impressive salary with rent-free semi-furnished accommodation and other benefits.
Interested candidate can mail their resume on management @shikshavalleyschool.org
Resume can also be sent to the below-mentioned address:
Shiksha Valley School,*
City Office- Radali Path,
Ground Floor: Himalayan Heritage,
Central Chowkidinghee, Dibrugarh
Dial 9435031859Perks and Benefits
Selected aspirants will receive an impressive salary with rent-free semi-furnished accommodation and other benefits.
Benefits
Perks and Benefits
Selected aspirants will receive an impressive salary with rent-free semi-furnished accommodation and other benefits.
Job Type: Full-time
Salary: ₹400,000.00 - ₹600,000.00 per year
Experience:
work: 5 years (Preferred)
total work: 3 years (Required)
Education:
Master's (Preferred)
Benefits:
Provident fund (PF)
Meal card / Food coupons
Education assistance
Other
Industry:
Education & Instruction"
Machine Learning / Artificial Intelligence Engineer,"Bengaluru, Karnataka",The Alacer Group,"₹10,00,000 - ₹18,00,000 a year",Organic,"Alacer Systems and Technologies is looking for an artificial intelligence and machine learning engineer, who will be able to develop and support Alacer's products. The main scope of the products will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. Your primary responsibilities will be – design and develop, maintain and enhance applications leveraging AI & ML capabilities. Therefore, it’s essential that – as an AI/ML engineer — you are skilled at problem solving, solution design, logical thinking and high-quality coding.
Description
The candidate must be fluent in artificial intelligence and machine learning techniques
The candidate must understand the following algorithms and when each is applicable: Linear Regression, Logistic Regression, Classification and Regression Trees, Naïve-Bayes, and K-Nearest Neighbors
The candidate should be familiar with statistics, neural networks, heuristics, Markov models, Natural Language Processing (NLP)
The candidate should know the R and Python languages
The candidate should familiar with Jupyter Notebooks
The candidate should have experience with Azure cloud
Experience in analytics driven financial applications will be plus
The candidate should be familiar with DevOps practices such as source control, builds, testing, deployments, release management, and monitoring
An understanding of modern approaches to software development such as microservices and event-driven architectures
Experience developing applications with the Azure cloud platform using Visual Studio and/or Visual Studio Code
Experience with SDLC tools such as Team Foundation Server (TFS), Git, Azure DevOps, and Jira
Requirements:
Bachelors degree in Computer Science or related field with 8+ years of software development experience OR MS/Phd in CS or equivalent with 4+ yrs of experience
Experience with all phases of development, including design, implementation, and operation of production systems
Experience in developing high-performance, highly-available and scalable distributed systems
In-depth knowledge and fluency in a high-level programming language C/C++ and C#
Experience with relational and noSQL databases
Solid understanding of Object-Oriented design and concepts
Strong analytical and problem solving skills
Experience with Machine Learning
Experience developing software in a Unix/Linux environment
Expected Start Date: 17/08/2020
Job Type: Full-time
Pay: ₹1,000,000.00 - ₹1,800,000.00 per year
Experience:
AI/ML: 5 years (Preferred)
total work: 7 years (Preferred)
Education:
Bachelor's (Preferred)"
Artificial Intelligence/ Machine Learning Data Engineer,"Kochi, Kerala",Right Soft Options,"₹40,000 - ₹45,000 a month",Organic,"Job Description:
1) Experience is using Data Science algorithms for Data Analytics
2) Expertise in Designing, Building and Leveraging AI/ML algorithms/programs for classification, prediction, modelling, clustering etc.
3) Perform statistical analysis
4) Undertake Machine Learning experiments and tests
5) Develop Deep Learning systems to various use cases based on business need
6) Ability to write code in Java/Python
7) Experience in data modelling, AI/ML software architecture and data structures
8) Experience in working with Agile team
9) Exposure to ECG analysis tools such as Matlab or mathworks
10) Minimum 1-2 years experience in AI/ML Data Science projects
Job Types: Full-time, Contract
Salary: ₹40,000.00 to ₹45,000.00 /month
Experience:
AI/ML projects : 2 years (Preferred)
Machine Learning: 1 year (Preferred)
Total experience: 4 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Artificial Intelligence Researcher - Freshers,"Bengaluru, Karnataka",BigSpire Software,None,Organic,"Job Description:
1) Experience is using Data Science algorithms for Data Analytics
2) Expertise in Designing, Building and Leveraging AI/ML algorithms/programs for classification, prediction, modelling, clustering etc.
3) Perform statistical analysis
4) Undertake Machine Learning experiments and tests
5) Develop Deep Learning systems to various use cases based on business need
6) Ability to write code in Java/Python
7) Experience in data modelling, AI/ML software architecture and data structures
8) Experience in working with Agile team
9) Exposure to ECG analysis tools such as Matlab or mathworks
10) Minimum 1-2 years experience in AI/ML Data Science projects
Job Types: Full-time, Contract
Salary: ₹40,000.00 to ₹45,000.00 /month
Experience:
AI/ML projects : 2 years (Preferred)
Machine Learning: 1 year (Preferred)
Total experience: 4 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Artificial Intelligence Engineer,"Hyderabad, Telangana",Grid Logic Software Private Limited,None,Organic,"Job Description:
1) Experience is using Data Science algorithms for Data Analytics
2) Expertise in Designing, Building and Leveraging AI/ML algorithms/programs for classification, prediction, modelling, clustering etc.
3) Perform statistical analysis
4) Undertake Machine Learning experiments and tests
5) Develop Deep Learning systems to various use cases based on business need
6) Ability to write code in Java/Python
7) Experience in data modelling, AI/ML software architecture and data structures
8) Experience in working with Agile team
9) Exposure to ECG analysis tools such as Matlab or mathworks
10) Minimum 1-2 years experience in AI/ML Data Science projects
Job Types: Full-time, Contract
Salary: ₹40,000.00 to ₹45,000.00 /month
Experience:
AI/ML projects : 2 years (Preferred)
Machine Learning: 1 year (Preferred)
Total experience: 4 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
artificial intelligence engineer,"Mumbai, Maharashtra",legalbabu corporate services pvt ltd,None,Organic,"Job Description:
1) Experience is using Data Science algorithms for Data Analytics
2) Expertise in Designing, Building and Leveraging AI/ML algorithms/programs for classification, prediction, modelling, clustering etc.
3) Perform statistical analysis
4) Undertake Machine Learning experiments and tests
5) Develop Deep Learning systems to various use cases based on business need
6) Ability to write code in Java/Python
7) Experience in data modelling, AI/ML software architecture and data structures
8) Experience in working with Agile team
9) Exposure to ECG analysis tools such as Matlab or mathworks
10) Minimum 1-2 years experience in AI/ML Data Science projects
Job Types: Full-time, Contract
Salary: ₹40,000.00 to ₹45,000.00 /month
Experience:
AI/ML projects : 2 years (Preferred)
Machine Learning: 1 year (Preferred)
Total experience: 4 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Teaching Faculty For Artificial Intelligence,"Ernakulam, Kerala",AI Hub,"₹15,000 - ₹30,000 a month",Organic,null
Artificial Intelligence,"Hyderabad, Telangana",Careerera,None,Organic,"A leading educational firm is looking for faculty members in Artificial Intelligence, Machine Learning, Data Science etc. Young and energetic experienced candidates with immense industrial knowledge should apply.
Job Types: Full-time, Contract
Salary: ₹15,000.00 to ₹30,000.00 /month"
Artificial Intelligence Internship,"Thiruvananthapuram, Kerala",Oracuz,"₹10,000 - ₹35,000 a month",Organic,"Just a few days ago Google AI launched an object detection competition on Kaggle called the Open Images Challenge. It’s great to see since the computer vision community hasn’t had such a new massive competition in a while.
Job Types: Full-time, Part-time, Internship, Fresher
Salary: ₹10,000.00 to ₹35,000.00 /month
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Artificial Intelligence Developer - Machine Learning/Deep Le...,India,StarTele Logic,None,Organic,"Just a few days ago Google AI launched an object detection competition on Kaggle called the Open Images Challenge. It’s great to see since the computer vision community hasn’t had such a new massive competition in a while.
Job Types: Full-time, Part-time, Internship, Fresher
Salary: ₹10,000.00 to ₹35,000.00 /month
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
English Annotators - India,None,TransPerfect Translations Inc.,None,Organic,"Just a few days ago Google AI launched an object detection competition on Kaggle called the Open Images Challenge. It’s great to see since the computer vision community hasn’t had such a new massive competition in a while.
Job Types: Full-time, Part-time, Internship, Fresher
Salary: ₹10,000.00 to ₹35,000.00 /month
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Talent Acquisition specialist,"Hyderabad, Telangana",WAVELABS TECHNOLOGIES,None,Organic,"Just a few days ago Google AI launched an object detection competition on Kaggle called the Open Images Challenge. It’s great to see since the computer vision community hasn’t had such a new massive competition in a while.
Job Types: Full-time, Part-time, Internship, Fresher
Salary: ₹10,000.00 to ₹35,000.00 /month
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Artificial Intelligence,"Hyderabad, Telangana",Careerera,None,Organic,null
Artificial Intelligence and Machine learning Trainer,"Badarpur, Delhi",Digital School of Delhi,None,Organic,null
Artificial Intelligence,"New Delhi, Delhi",Delvetech,None,Organic,null
Artificial Intelligence,"Kolkata, West Bengal",newAmps Consulting,None,Organic,null
Artificial Intelligence / Data Science/ Machine Learning,India,TATA ELXSI LTD.,"₹3,50,000 - ₹5,00,000 a year",Organic,"TATA ELXSI Ltd. is conducting off campus drive across India for BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc.
Salary : 3.5 Lacs-5 Lacs
Industry : IT-Software / Software Services
Functional Area : IT-Software / Software Services
Role : Junior Engineers
Keyskills
BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc. Mathematics Compulsory
Desired Candidate Profile
Company Profile:
Tata Elxsi is an Indian design company and a part of the Tata Group. It provides design and technology services for product engineering and solutions across industries including broadcast, communications, and automotive."
Artificial Intelligence & Machine Learning - Corporate train...,"Thiruvananthapuram, Kerala",Oracuz Info Tech Pvt Ltd,None,Organic,"TATA ELXSI Ltd. is conducting off campus drive across India for BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc.
Salary : 3.5 Lacs-5 Lacs
Industry : IT-Software / Software Services
Functional Area : IT-Software / Software Services
Role : Junior Engineers
Keyskills
BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc. Mathematics Compulsory
Desired Candidate Profile
Company Profile:
Tata Elxsi is an Indian design company and a part of the Tata Group. It provides design and technology services for product engineering and solutions across industries including broadcast, communications, and automotive."
Artificial Intelligence Engineer,"Hyderabad, Telangana",Grid Logic Software Private Limited,None,Organic,"TATA ELXSI Ltd. is conducting off campus drive across India for BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc.
Salary : 3.5 Lacs-5 Lacs
Industry : IT-Software / Software Services
Functional Area : IT-Software / Software Services
Role : Junior Engineers
Keyskills
BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc. Mathematics Compulsory
Desired Candidate Profile
Company Profile:
Tata Elxsi is an Indian design company and a part of the Tata Group. It provides design and technology services for product engineering and solutions across industries including broadcast, communications, and automotive."
Data Science and Machine Learning Trainer,"Hyderabad, Telangana",Ambrapali Electrotech Private Limited,"₹30,000 - ₹50,000 a year",Organic,"We are looking for an organized and experienced Data Science and Machine Learning trainer to join our organization.
The Trainer Should have good knowledge of Python, Artificial Intelligence including Data Science and Machine Learning.
The trainer will be responsible for evaluating our needs and current practices and creating and delivering a training development plan complete with materials, tutorials, instructions, and learning resources such as online modules and guides.
The ideal Trainer will be a confident Live Public speaker in front of the Camera and a devoted educator who is up-to-date on the latest tools and resources needed to improve employee training and performance.
Job Types: Full-time, Part-time, Internship
Salary: ₹30,000.00 - ₹50,000.00 per year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Artificial Intelligence: 1 year (Preferred)
Data Science and Machine Learning: 1 year (Preferred)
python: 2 years (Preferred)
Education:
Bachelor's (Preferred)"
Machine Learning / Artificial Intelligence Engineer,"Bengaluru, Karnataka",The Alacer Group,"₹10,00,000 - ₹18,00,000 a year",Organic,"Alacer Systems and Technologies is looking for an artificial intelligence and machine learning engineer, who will be able to develop and support Alacer's products. The main scope of the products will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. Your primary responsibilities will be – design and develop, maintain and enhance applications leveraging AI & ML capabilities. Therefore, it’s essential that – as an AI/ML engineer — you are skilled at problem solving, solution design, logical thinking and high-quality coding.
Description
The candidate must be fluent in artificial intelligence and machine learning techniques
The candidate must understand the following algorithms and when each is applicable: Linear Regression, Logistic Regression, Classification and Regression Trees, Naïve-Bayes, and K-Nearest Neighbors
The candidate should be familiar with statistics, neural networks, heuristics, Markov models, Natural Language Processing (NLP)
The candidate should know the R and Python languages
The candidate should familiar with Jupyter Notebooks
The candidate should have experience with Azure cloud
Experience in analytics driven financial applications will be plus
The candidate should be familiar with DevOps practices such as source control, builds, testing, deployments, release management, and monitoring
An understanding of modern approaches to software development such as microservices and event-driven architectures
Experience developing applications with the Azure cloud platform using Visual Studio and/or Visual Studio Code
Experience with SDLC tools such as Team Foundation Server (TFS), Git, Azure DevOps, and Jira
Requirements:
Bachelors degree in Computer Science or related field with 8+ years of software development experience OR MS/Phd in CS or equivalent with 4+ yrs of experience
Experience with all phases of development, including design, implementation, and operation of production systems
Experience in developing high-performance, highly-available and scalable distributed systems
In-depth knowledge and fluency in a high-level programming language C/C++ and C#
Experience with relational and noSQL databases
Solid understanding of Object-Oriented design and concepts
Strong analytical and problem solving skills
Experience with Machine Learning
Experience developing software in a Unix/Linux environment
Expected Start Date: 17/08/2020
Job Type: Full-time
Pay: ₹1,000,000.00 - ₹1,800,000.00 per year
Experience:
AI/ML: 5 years (Preferred)
total work: 7 years (Preferred)
Education:
Bachelor's (Preferred)"
AI ChatBot Developer,"Chennai, Tamil Nadu",Celexa,None,Organic,"Alacer Systems and Technologies is looking for an artificial intelligence and machine learning engineer, who will be able to develop and support Alacer's products. The main scope of the products will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. Your primary responsibilities will be – design and develop, maintain and enhance applications leveraging AI & ML capabilities. Therefore, it’s essential that – as an AI/ML engineer — you are skilled at problem solving, solution design, logical thinking and high-quality coding.
Description
The candidate must be fluent in artificial intelligence and machine learning techniques
The candidate must understand the following algorithms and when each is applicable: Linear Regression, Logistic Regression, Classification and Regression Trees, Naïve-Bayes, and K-Nearest Neighbors
The candidate should be familiar with statistics, neural networks, heuristics, Markov models, Natural Language Processing (NLP)
The candidate should know the R and Python languages
The candidate should familiar with Jupyter Notebooks
The candidate should have experience with Azure cloud
Experience in analytics driven financial applications will be plus
The candidate should be familiar with DevOps practices such as source control, builds, testing, deployments, release management, and monitoring
An understanding of modern approaches to software development such as microservices and event-driven architectures
Experience developing applications with the Azure cloud platform using Visual Studio and/or Visual Studio Code
Experience with SDLC tools such as Team Foundation Server (TFS), Git, Azure DevOps, and Jira
Requirements:
Bachelors degree in Computer Science or related field with 8+ years of software development experience OR MS/Phd in CS or equivalent with 4+ yrs of experience
Experience with all phases of development, including design, implementation, and operation of production systems
Experience in developing high-performance, highly-available and scalable distributed systems
In-depth knowledge and fluency in a high-level programming language C/C++ and C#
Experience with relational and noSQL databases
Solid understanding of Object-Oriented design and concepts
Strong analytical and problem solving skills
Experience with Machine Learning
Experience developing software in a Unix/Linux environment
Expected Start Date: 17/08/2020
Job Type: Full-time
Pay: ₹1,000,000.00 - ₹1,800,000.00 per year
Experience:
AI/ML: 5 years (Preferred)
total work: 7 years (Preferred)
Education:
Bachelor's (Preferred)"
